Título;ISSN impresa;ISSN en linea;Instituto;URL
Cuadernos Medievales;2422-7471;2451-6821;Universidad Nacional de Mar del Plata;https://www.scimagojr.com/journalsearch.php?q=21101049619&tip=sid&clean=0
Revista Argentina de Cardiologia;0034-7000;;Sociedad Argentina de Cardiologia;https://www.scimagojr.com/journalsearch.php?q=78240&tip=sid&clean=0
Analecta Veterinaria;1514-2590;0365-5148;National University of la Plata Faculty of Veterinary Sciences;https://www.scimagojr.com/journalsearch.php?q=21101152871&tip=sid&clean=0
Archivos de Alergia e Inmunologia Clinica;1515-9825;;Asociacion Argentina de Alergia e Inmunologia Clinica;https://www.scimagojr.com/journalsearch.php?q=21100231629&tip=sid&clean=0
Revista Argentina de Cirugia(Argentina);0048-7600;2250-639X;Argentine Association of Surgery;https://www.scimagojr.com/journalsearch.php?q=21101058815&tip=sid&clean=0
Latin American Journal of Pharmacy;0326-2383;;Colegio de Farmaceuticos de la Provincia de Buenos Aires;https://www.scimagojr.com/journalsearch.php?q=19381&tip=sid&clean=0
Revista de Nefrologia, Dialisis y Trasplante;2346-8548;0326-3428;Asociacion Regional de Dialisi y Transplantes Renales de Capital Federal y Provincia de Buenos Aires;https://www.scimagojr.com/journalsearch.php?q=144825&tip=sid&clean=0
Oido Pensante;2250-7116;;Centro Argentino de Informacion Cientifica y Tecnologica (CAICYT-CONICET);https://www.scimagojr.com/journalsearch.php?q=21100847284&tip=sid&clean=0
Revista de la Facultad de Ciencias Medicas de Cordoba;0014-6722;1853-0605;Universidad Nacional de Cordoba;https://www.scimagojr.com/journalsearch.php?q=20274&tip=sid&clean=0
Revista de Investigaciones Agropecuarias;0325-8718;1669-2314;Instituto Nacional de Tecnologia Agropecuaria;https://www.scimagojr.com/journalsearch.php?q=21100395706&tip=sid&clean=0
Salud (i) Ciencia;1667-8990;1667-8982;Sociedad Iberoamericana de Informacion Cientifica;https://www.scimagojr.com/journalsearch.php?q=4100151617&tip=sid&clean=0
Revista Medica de Rosario;0327-5019;;Circulo Medico de Rosario;https://www.scimagojr.com/journalsearch.php?q=4700151714&tip=sid&clean=0
Revista Veterinaria;1669-6840;1668-4834;Universidad Nacional del Nordeste;https://www.scimagojr.com/journalsearch.php?q=7200153136&tip=sid&clean=0
Boletin de Estetica;1668-7132;2408-4417;Centro de Investigaciones Filosoficas;https://www.scimagojr.com/journalsearch.php?q=21100903457&tip=sid&clean=0
Insuficiencia Cardiaca;1852-3862;1850-1044;Silver Horse SRL;https://www.scimagojr.com/journalsearch.php?q=19700188315&tip=sid&clean=0
Taurus;1515-3037;;Revista Taurus;https://www.scimagojr.com/journalsearch.php?q=21100220124&tip=sid&clean=0
Antiguo Oriente;1667-9202;;Archaeopress;https://www.scimagojr.com/journalsearch.php?q=21100312021&tip=sid&clean=0
Estudios de Teoria Literaria;2313-9676;;Universidad Nacional de Mar del Plata;https://www.scimagojr.com/journalsearch.php?q=21100904229&tip=sid&clean=0
Palabra Clave (La Plata);1853-9912;1666-2938;Universidad Nacional de La Plata;https://www.scimagojr.com/journalsearch.php?q=21101172239&tip=sid&clean=0
Prudentia Iuris;2524-9525;0326-2774;Pontificia Universidad Catolica Argentina;https://www.scimagojr.com/journalsearch.php?q=21101039142&tip=sid&clean=0
Revista de la Federacion Argentina de Cardiologia;1666-5694;0326-646X;Federacion Argentina de Cardiologia;https://www.scimagojr.com/journalsearch.php?q=21100218035&tip=sid&clean=0
Avances del Cesor;1514-3899;2422-6580;Investigaciones-Sociohistoricas Regionales;https://www.scimagojr.com/journalsearch.php?q=21100923520&tip=sid&clean=0
Paginas;1851-992X;;Universidad Nacional de Rosario - Facultad de Humanidades y Artes, Escuela de Historia;https://www.scimagojr.com/journalsearch.php?q=21100856605&tip=sid&clean=0
Acta Gastroenterologica Latinoamericana;0300-9033;;Sociedad Argentina de Gastroenterologia;https://www.scimagojr.com/journalsearch.php?q=27821&tip=sid&clean=0
Anclajes;0329-3807;1851-4669;Instituto de Investigaciones Literarias y Discursivas, Universidad Nacional de La Pampa;https://www.scimagojr.com/journalsearch.php?q=21100218077&tip=sid&clean=0
Metatheoria;1853-2322;1853-2330;Editorial de la Universidad Nacional de Tres de Febrero (EDUNTREF);https://www.scimagojr.com/journalsearch.php?q=21101068185&tip=sid&clean=0
Actualizaciones en Osteologia;1669-8975;1669-8983;Asociacion Argentina de Osteologia y Metabolismo Mineral;https://www.scimagojr.com/journalsearch.php?q=19300157010&tip=sid&clean=0
Estudios de Historia de Espana;2469-0961;0328-0284;Pontificia Universidad Catolica Argentina;https://www.scimagojr.com/journalsearch.php?q=21101093542&tip=sid&clean=0
Patristica et Mediaevalia;2683-9636;0325-2280;Institute of Philosophy Dr. Alejandro Korn, Faculty of Philosophy and Arts, University of Buenos Aires;https://www.scimagojr.com/journalsearch.php?q=21101057754&tip=sid&clean=0
Revista Iberoamericana de la Propiedad Intelectual;2422-569X;;Austral University;https://www.scimagojr.com/journalsearch.php?q=21101152620&tip=sid&clean=0
Revista Latinoamericana de Filosofia;0325-0725;1852-7353;Centro de Investigaciones Filosoficas;https://www.scimagojr.com/journalsearch.php?q=21101105300&tip=sid&clean=0
Temas Medievales;0327-5094;1850-2628;Departamento de Investigaciones Medievales, Inst. Multidisciplin. de Historia y Ciencias Humanas;https://www.scimagojr.com/journalsearch.php?q=19400158824&tip=sid&clean=0
Boletin del Instituto de Historia Argentina y Americana,Doctor Emilio Ravignani,;0524-9767;1850-2563;Instituto de Historia Argentina y Americana Doctor Emilio Ravignani;https://www.scimagojr.com/journalsearch.php?q=26231&tip=sid&clean=0
Topicos;1666-485X;;Asociacion Revista de Filosofia de Santa Fe;https://www.scimagojr.com/journalsearch.php?q=17900156732&tip=sid&clean=0
