Título;ISSN impresa;ISSN en linea;Área;Instituto
Cuadernos filosóficos (Rosario);1850-3667;2683-9024;Ciencias sociales y humanidades;null
Cuadernos medievales;null;2451-6821;Ciencias sociales y humanidades;null
Cuestiones de sociología;null;2346-8904;Ciencias sociales y humanidades;null
Cuyo anuario de filosofía argentina y americana;1514-9935;1853-3175;Ciencias sociales y humanidades;null
Cuyonomics (Mendoza);null;2591-555X;Ciencias sociales y humanidades;Facultad de Ciencias Económicas Universidad Nacional de Cuyo
Darwiniana;0011-6793;1850-1699;Ciencias exactas y naturales ;null
Debate universitario (Ciudad Autónoma de Buenos Aires);2314-1530;2314-2138;Ciencias sociales y humanidades;null
Del prudente saber y el máximo posible de sabor (En línea);null;2618-4141;Ciencias sociales y humanidades;Facultad de Ciencias de la Educación, Universidad Nacional de Entre Ríos 
Delito y sociedad;null;0328-0101;Ciencias sociales y humanidades;null
Derecho y ciencias sociales (La Plata);1852-2971;1853-0982;Ciencias sociales y humanidades;null
Dermatología argentina;null;1669-1636;Ciencias biológicas y de la salud;null
Desarrollo económico (Buenos Aires);null;0046-001X;Ciencias sociales y humanidades;null
Descentrada (Ensenada);null;2545-7284;Ciencias sociales y humanidades;Instituto de Investigaciones en Humanidades y Ciencias Sociales, Consejo Nacional de Investigaciones Científicas y Técnicas 
Diaeta (Buenos Aires);0328-1310;1852-7337;Ciencias biológicas y de la salud;null
Diferencia(s) (Ciudad Autónoma de Buenos Aires);null;2469-1100;Ciencias sociales y humanidades;Instituto de Investigaciones “Gino Germani”, Facultad de Ciencias Sociales, Universidad de Buenos Aires
Documentos y aportes en administración pública y gestión estatal;1666-4124;1851-3727;Ciencias sociales y humanidades;null
e-latina (Buenos Aires);null;1666-9606;Ciencias sociales y humanidades;null
Ecología austral;0327-5477;1667-782X;Ciencias biológicas y de la salud;null
Económica (La Plata);0013-0419;1852-1649;Ciencias sociales y humanidades;null
Educación en la química (En línea);null;2344-9683;Ciencias exactas y naturales ;Asociación de Educadores en la Química de la República Argentina
Educación física y ciencia;1514-0105;2314-2561;Ciencias sociales y humanidades;null
Educación y vínculos;null;2591-6327;Ciencias sociales y humanidades;Facultad de Ciencias de la Educación, Universidad Nacional de Entre Rios
Educación, lenguaje y sociedad;1668-4753;2545-7667;Ciencias sociales y humanidades;null
