Título;ISSN impresa;ISSN en linea;Instituto;URL
ECOLOGIA AUSTRAL;0327-5477;1667-782X;ASOCIACION ARGENTINA ECOLOGIA , DEPT ECOLOGIA, FAC AGRONOMIA, UNIVERSIDAD BUENOS AIRES, AV SAN MARTIN 4453, BUENOS AIRES, ARGENTINA, 00000;
EDUCACION FISICA Y CIENCIA;1514-0105;2314-2561;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
E-LATINA-REVISTA ELECTRONICA DE ESTUDIOS LATINOAMERICANOS;1666-9606;;UNIV BUENOS AIRES, FAC CIENCIAS SOCIALES , MARCELO T ALVEAR, 2230, BUENOS AIRES, ARGENTINA, 1122;
ESPACIOS EN BLANCO-SERIE INDAGACIONES;1515-9485;;UNIV NAC CENTRO PROVINCIA BUENOS AIRES , CAMPUS UNIV, PARAJE ARROYO SECO S N, TANDIL, ARGENTINA, 7000;
ESTUDIOS-CENTRO DE ESTUDIOS AVANZADOS-UNIVERSIDAD NACIONAL DE CORDOBA;0328-185X;1852-1568;UNIV NAC CORDOBA, CENTRO ESTUDIOS AVANZADOS , AVE VELEZ SARSFIELD, 153, CORDOBA, ARGENTINA, 5000;
ESTUDIOS DE HISTORIA DE ESPANA;0328-0284;2469-0961;UNIV CATOLICA ARGENTINA, FAC CIENCIAS SOCIALES , CTR ESTUDIOS HIST ANTIGUO ORIENTE, AV ALICIA MOREAU JUSTO, 1500 P B, BUENOS AIRES, ARGENTINA, C1107AFD;
ESTUDIOS DEL HABITAT;0328-929X;2422-6483;UNIV NACL LA PLATA, FAC ARQUITECTURA & URBANISMO , CALLE 47 NO 162 & 117, LA PLATA, ARGENTINA, 00000;
ESTUDIOS DE TEORIA LITERARIA-REVISTA DIGITAL-ARTES LETRAS HUMANIDADES;2313-9676;;UNIV NAC MAR PLATA , DIAGONAL J B ALBERDI 2695, MAR DEL PLATA, ARGENTINA, BUENOS AIRES, 00000;
ESTUDIOS SOCIALES-REVISTA UNIVERSITARIA SEMESTRAL;0327-4934;2250-6950;UNIV NAC LITORAL , CIUDAD UNIV, FAC BIOQUIM & CIENC BIOL, PARAJE POZO, SANTA FE, ARGENTINA, 53000;
ESTUDIOS SOCIOTERRITORIALES;1515-6206;1853-4392;UNIV NACL CENTRO PROVINCIA BUENOS AIRES, CENTRO INVESTIGACIONES GEOGRAFICA , CAMPUS UNIV PARAJE ARROYO SECO, BUENOS AIRES, ARGENTINA, TANDIL, 7000;
ETICA & CINE;2250-5660;2250-5415;UNIV BUENOS AIRES, FAC PSYCHOLOGY , RES INST, INDEPENDENCIA 3065, THIRD FLR, BUENOS AIRES, ARGENTINA, 00000;
FABICIB-FACULTAD DE BIOQUIMICA Y CIENCIAS BIOLOGICAS;0329-5559;;UNIV NAC LITORAL , CIUDAD UNIV, FAC BIOQUIM & CIENC BIOL, PARAJE POZO, SANTA FE, ARGENTINA, 53000;
FIBONACCI QUARTERLY;0015-0517;;FIBONACCI ASSOC , C/O PATTY SOLSAA, PO BOX 320, AURORA, USA, SD, 57002-0320;
FUNDACION MIGUEL LILLO MISCELANEA;0074-025X;;FUNDACION MIGUEL LILLO , MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA, T4000JFE;
GEOGRAFICANDO;1850-1885;2346-898X;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
HILO DE LA FABULA;1667-7900;2362-5651;UNIV NAC LITORAL, FAC HUMANIDADES & CIENCIAS , CIUDAD UNIV, SANTA FE, ARGENTINA, 3000;
HISTORIA NATURAL-CORRIENTES;0326-1778;1853-6581;HISTORIA NATURAL , CASILLA CORREO 26, CORRIENTES, ARGENTINA, 3400;
HORNERO;0073-3407;1850-4884;ASOCIACION ORNITHOLOGICA DEL PLATA , 25 DE MAYO 749 2 PISO 6, BUENOS AIRES, ARGENTINA,;
IHS ANTIGUOS JESUITAS EN IBEROAMERICA;2314-3908;;CENTRO INVESTIGACIONES SOC & CULTURA , ROUNDEAU 471, NUEVA CORDOBA, CORDOBA, ARGENTINA, 5000;
INFORMES CIENTIFICOS Y TECNICOS;1852-4516;;UNIV NAC PATAGONIA AUSTRAL , RIVADAVIA 265, RIO GALLEGOS, SANTA CRUZ, ARGENTINA, 9400;
INSTITUTO SUPERIOR DE CORRELACION GEOLOGICA MISCELANEA;1514-4836;1668-3242;INST SUPERIOR CORRELACION GEOLOGICA , MIGUEL LILLO 205, SAN MIGUEL DE TUCUMAN, ARGENTINA, TUCUMAN, 4000;
INSUFICIENCIA CARDIACA;1850-1044;1852-3862;REVISTA INSUFICIENCIA CARDIACA , DOMINGO F SARMIENTO 3555, PISO 1O D, BUENOS AIRES, ARGENTINA, 1196;
INTERDISCIPLINARIA;1668-7027;;CENTRO INTERAMERICANO INVESTIGACIONES PSICOLOGICAS Y CIENCIAS AFINES-CIIPCA , TTE GRAL J D PERON 2158, BUENOS AIRES, ARGENTINA, 00000;
INTERSECCIONES EN ANTROPOLOGIA;1850-373X;;UNIV NACL CENTRO PROVINCIA BUENOS AIRES (UNICEN), FAC CIENCIAS SOCIALES , AVE ARISTOBULO DEL VALLE 5737, BUENOS AIRES, Argentina, OLAVARIA, 7400;
JOURNAL OF COMPUTER SCIENCE & TECHNOLOGY;1666-6046;1666-6038;UNIV NAC LA PLATA, FAC INFORMATICA , 50 Y 115, 1ER PISO, LA PLATA, ARGENTINA, 1900;
LATIN AMERICAN APPLIED RESEARCH;0327-0793;1851-8796;PLAPIQUI(UNS-CONICET) , CAMINO LA CARRINDANGA, KM 7, C C 717, BAHIA BLANCA, ARGENTINA, 8000;
