Título;ISSN impresa;ISSN en linea;Instituto;Editora;URL
Geográfica Digital;;1668-5180;Universidad Nacional del Nordeste, Facultad de Humanidades, Instituto de Geografía;Universidad Nacional del Nordeste;https://doaj.org/toc/1668-5180
RASAL Lingüística;2250-7353;2618-3455;;Sociedad Argentina de Estudios Lingüísticos;https://doaj.org/toc/2618-3455
Revista de la Facultad de Ciencias Económicas;1668-6357;1668-6365;Universidad Nacional del Nordeste, Facultad de Ciencias Económicas;Universidad Nacional del Nordeste;https://doaj.org/toc/1668-6365
Studium: Filosofía y Teología;0329-8930;2591-426X;Universidad del Norte Santo Tomás de Aquino;Universidad del Norte Santo Tomás de Aquino;https://doaj.org/toc/2591-426X
Zama;1851-6866;2422-6017;;Universidad de Buenos Aires, Facultad de Filosofía y Letras;https://doaj.org/toc/2422-6017
Anacronismo e Irrupción;;2250-4982;Instituto de Investigaciones Gino Germani;Universidad de Buenos Aires;https://doaj.org/toc/2250-4982
Anuario de Investigaciones;0329-5885;1851-1686;;Facultad de Psicología Universidad de Buenos Aires;https://doaj.org/toc/1851-1686
deSignis;1578-4223;2462-7259;;Federación Latinoamericana de Semiótica (FELS);https://doaj.org/toc/2462-7259
Psocial;;2422-619X;Universidad de Buenos Aires, Facultad de Ciencias Sociales;Universidad de Buenos Aires;https://doaj.org/toc/2422-619X
De Prácticas y Discursos;;2250-6942;Universidad Nacional del Nordeste, Centro de Estudios Sociales;Universidad Nacional del Nordeste;https://doaj.org/toc/2250-6942
Relaciones de la Sociedad Argentina de Antropología;0325-2221;1852-1479;;Sociedad Argentina de Antropología;https://doaj.org/toc/1852-1479
Revista Methodo;;2545-8302;;Universidad Católica de Córdoba;https://doaj.org/toc/2545-8302
Lilloa;0075-9481;2346-9641;Fundación Miguel Lillo;Fundación Miguel Lillo;https://doaj.org/toc/2346-9641
(En)clave Comahue;2545-6466;2545-6393;Universidad Nacional del Comahue, Facultad de Derecho y Ciencias Sociales;Universidad Nacional del Comahue;https://doaj.org/toc/2545-6393
En Letra;;2362-2148;;Ciudad Autónoma de Buenos Aires;https://doaj.org/toc/2362-2148
Boletín Geográfico;0326-1735;2313-903X;;Departamento de Geografía, Facultad de Humanidades, Universidad Nacional del Comahue;https://doaj.org/toc/2313-903X
Revista del Instituto de Investigaciones en Educación;;1853-1393;;Universidad Nacional del Nordeste;https://doaj.org/toc/1853-1393
Arqueologia;0327-5159;1853-8126;Universidad de Buenos Aires. Facultad de Filosofía y Letras. Instituto de Arqueología;Instituto de Arqueología, Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://doaj.org/toc/1853-8126
El Oído Pensante;;2250-7116;Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras (Universidad de Buenos Aires);Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras (Universidad de Buenos Aires);https://doaj.org/toc/2250-7116
Caiana: Revista de Historia del Arte y Cultura Visual;;2313-9242;;Centro Argentino de Investigadores de Arte;https://doaj.org/toc/2313-9242
Evaluar;;1667-4545;Universidad Nacional de Córdoba, Facultad de Psicología, Laboratorio de Evaluación Psicológica y Educativa;Universidad Nacional de Córdoba;https://doaj.org/toc/1667-4545
Miríada: Investigación en Ciencias Sociales;1851-9431;2250-4621;Universidad del Salvador, Facultad de Ciencias Sociales, Instituto de Investigación en Ciencias Sociales;Universidad del Salvador;https://doaj.org/toc/2250-4621
Revista de Ciencia y Tecnología;0329-8922;1851-7587;Universidad Nacional de Misiones, Facultad de Ciencias Exactas, Químicas y Naturales, Secretaría de Investigación y Posgrado;Universidad Nacional de Misiones;https://doaj.org/toc/1851-7587
Papers in Physics;;1852-4249;;Papers in Physics;https://doaj.org/toc/1852-4249
Lúdicamente;;2250-723X;;Universidad de Buenos Aires, Instituto de Investigaciones Gino Germani;https://doaj.org/toc/2250-723X
Corpus: Archivos Virtuales de la Alteridad Americana;;1853-8037;;Centro Científico y Tecnológico-CONICET, Mendoza & Universidad Nacional de La Pampa;https://doaj.org/toc/1853-8037
Prismas;1666-1508;1852-0499;Universidad Nacional de Quilmes, Centro de Estudios e Investigaciones, Programa de Historia Intelectual;Universidad Nacional de Quilmes;https://doaj.org/toc/1852-0499
El Jardín de los Poetas;;2469-2131;Universidad Nacional de Mar del Plata, Facultad de Humanidades, Centro de Letras Hispanoamericanas;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2469-2131
Exlibris;;2314-3894;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Departamento de Letras;Universidad de Buenos Aires;https://doaj.org/toc/2314-3894
Pescadora de Perlas;2953-5093;2953-4410;;Universidad Nacional de Córdoba;https://doaj.org/toc/2953-4410
Ideas;;2451-6910;;RAGIF Ediciones;https://doaj.org/toc/2451-6910
