Título;ISSN impresa;ISSN en linea;Instituto;Editora;URL
Páginas;;1851-992X;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Escuela de Historia;Universidad Nacional de Rosario;https://doaj.org/toc/1851-992X
Telar;1668-2963;1668-3633;Universidad Nacional de Tucumán, Facultad de Filosofía y Letras, Instituto Interdisciplinario de Estudios Latinoamericanos;Universidad Nacional de Tucumán;https://doaj.org/toc/1668-3633
Trabajo y Sociedad;;1514-6871;;Universidad Nacional de Santiago del Estero;https://doaj.org/toc/1514-6871
Revista Elektrón;;2525-0159;Universidad de Buenos Aires, Facultad de Ingeniería;Universidad de Buenos Aires;https://doaj.org/toc/2525-0159
Revista Jurídica Austral;2684-0537;2684-057X;Universidad Austral, Facultad de Derecho;Universidad Austral;https://doaj.org/toc/2684-057X
Bonplandia;0524-0476;1853-8460;Instituto de Botánica del Nordeste, Facultad de Ciencias Agrarias, Universidad Nacional del Nordeste;Instituto de Botánica del Nordeste;https://doaj.org/toc/1853-8460
Itinerantes;2250-5377;2525-2178;Universidad del Norte Santo Tomás de Aquino, Instituto de Investigaciones Históricas "Prof. Manuel Soriano";Universidad del Norte Santo Tomás de Aquino;https://doaj.org/toc/2525-2178
Ciencias Administrativas;0009-6784;2314-3738;Universidad Nacional de La Plata, Facultad de Ciencias Económicas;Universidad Nacional de La Plata;https://doaj.org/toc/2314-3738
Ingenio Tecnológico;;2618-4931;;Universidad Tecnológica Nacional, Facultad Regional La Plata;https://doaj.org/toc/2618-4931
Estudios Sociales;0327-4934;2250-6950;Universidad Nacional del Litoral;Universidad Nacional del Litoral;https://doaj.org/toc/2250-6950
Cuadernos de Marte;;1852-9879;Universidad de Buenos Aires. Facultad de Ciencias Sociales. Instituto de Investigaciones Gino Germani;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani;https://doaj.org/toc/1852-9879
H-Industri@;1853-550X;1851-703X;Instituto Interdisciplinario de Economía Política de Buenos Aires (UBA- CONICET);Universidad de Buenos Aires. Facultad de Ciencias Económicas;https://doaj.org/toc/1851-703X
Etnografías Contemporáneas;1669-2632;2451-8050;Universidad Nacional San Martín;Universidad Nacional San Martín;https://doaj.org/toc/2451-8050
Epistemología e Historia de la Ciencia;;2525-1198;Universidad Nacional de Córdoba, Centro de Investigaciones de la Facultad de Filosofía y Humanidades;Universidad Nacional de Córdoba;https://doaj.org/toc/2525-1198
Aportes para la Integración Latinoamericana;1667-8613;2468-9912;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales, Instituto de Integración Latinoamericana;Universidad Nacional de La Plata;https://doaj.org/toc/2468-9912
Revista Médica de Rosario;0327-5019;1851-2135;Círculo Médico de Rosario;Círculo Médico de Rosario;https://doaj.org/toc/1851-2135
Interdisciplinaria;0325-8203;1668-7027;CONICET, Centro Interamericano de Investigaciones Psicológicas y Ciencias Afines;CONICET, Centro Interamericano de Investigaciones Psicológicas y Ciencias Afines;https://doaj.org/toc/1668-7027
Revista Enfermería Neonatal;;2591-6424;FUNDASAMIN-Fundación para la Salud Materno Infantil;FUNDASAMIN-Fundación para la Salud Materno Infantil;https://doaj.org/toc/2591-6424
Revista Científica Arbitrada de la Fundación MenteClara;;2469-0783;Fundación MenteClara;Fundación MenteClara;https://doaj.org/toc/2469-0783
Circe de Clásicos y Modernos;1514-3333;1851-1724;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas, Instituto de Estudios Clásicos;Universidad Nacional de La Pampa;https://doaj.org/toc/1851-1724
Revista del Museo de La Plata;2545-6369;2545-6377;Universidad Nacional de La Plata, Facultad de Ciencias Naturales y Museo;Universidad Nacional de La Plata;https://doaj.org/toc/2545-6377
Clio y Asociados;0328-820X;2362-3063;;Universidad Nacional del Litoral;https://doaj.org/toc/2362-3063
Cuadernos de Historia: Serie Economía y Sociedad;1514-5816;2422-7544;Universidad Nacional de Córdoba, Facultad de Filosofía y Humanidades, Centro de Investigaciones María Saleme de Burnichon;Universidad Nacional de Córdoba;https://doaj.org/toc/2422-7544
Cuadernos de Política Exterior Argentina;0326-7806;1852-7213;Universidad Nacional de Rosario (UNR) - Centro de Estudios en Relaciones Internacionales de Rosario (CERIR);Universidad Nacional de Rosario;https://doaj.org/toc/1852-7213
Andes;;1668-8090;;Universidad Nacional de Salta, Facultad de Humanidades, Centro Promocional de las Investigaciones en Historia y Antropología;https://doaj.org/toc/1668-8090
Mundo Agrario;;1515-5994;;Universidad Nacional de La Plata;https://doaj.org/toc/1515-5994
Improntas de la Historia y la Comunicación;;2469-0457;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social, Centro de Estudios en Historia, Comunicación, Periodismo y Medios;Universidad Nacional de La Plata;https://doaj.org/toc/2469-0457
