Título;ISSN en linea;ISSN impresa;ISSN-L;Instituto;URL
Anales de arqueología y etnología;2591-3093;;0325-0288;Universidad Nacional de Cuyo, Facultad de Filosofía y Letras, Instituto de Arqueología y Etnología;https://www.latindex.org/latindex/ficha/23609
Anales de historia antigua, medieval y moderna.;1853-1555;;1514-9927;Universidad de Buenos Aires, Facultad de Filosofía y Letras.;https://www.latindex.org/latindex/ficha/26051
Anales de Lingüística.;2684-0669;;0325-3597;EDIFyL Facultad de Filosofía y Letras UNCuyo;https://www.latindex.org/latindex/ficha/26403
Anales del Instituto de Arte Americano e Investigaciones Estéticas Mario J. Buschiazzo;2362-2024;;0328-9796;Instituto de Arte Americano e Investigaciones Estéticas "Mario J. Buschiazzo";https://www.latindex.org/latindex/ficha/23159
Análisis filosófico;1851-9636;;0326-1301;Sociedad Argentina de Análisis Filosófico;https://www.latindex.org/latindex/ficha/19089
Anclajes;1851-4669;0329-3807;0329-3807;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas,  Instituto de Investigaciones Literarias y Discursivas;https://www.latindex.org/latindex/ficha/19095
Antigua Matanza;2545-8701;;2545-8701;Junta de Estudios Históricos de La Matanza,Secretaría de Extensión Universitaria, Universidad Nacional de La Matanza;https://www.latindex.org/latindex/ficha/24751
Antiguos jesuitas en Iberoamérica;2314-3908;;2314-3908;Centro de Investigaciones sobre Cultura y Sociedad, Consejo Nacional de Investigaciones Científicas y Técnicas, Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/20696
Anuario (Centro de Estudios Económicos de la Empresa y el Desarrollo);2545-8299;;1852-5784;Centro de Estudios Económicos de la Empresa y el Desarrollo;https://www.latindex.org/latindex/ficha/23642
Anuario de arqueología.;2684-0138;;1852-8554;Departamento de Arqueología;https://www.latindex.org/latindex/ficha/25678
Anuario de la Escuela de Historia virtual;1853-7049;;1666-5856;Universidad Nacional de Córdoba, Facultad de Filosofía y Humanidades, Escuela de Historia;https://www.latindex.org/latindex/ficha/1204
Anuario del Instituto de Historia Argentina;2314-257X;;1668-950X;Consejo Nacional de Investigaciones Científicas y Técnicas. Instituto de Investigaciones en Humanidades y Ciencias Sociales - Universidad Nacional de La Plata. Centro de Historia Argentina y Americana;https://www.latindex.org/latindex/ficha/20738
Anuario Digital;1853-8835;;0327-215X;Escuela de Historia, Facultad de Humanidades y Artes, Universidad Nacional de Rosario;https://www.latindex.org/latindex/ficha/1271
Anuario Escuela de Archivología;1852-6446;;1852-6446;Escuela de Archivología, Facultad de Filosofía y Humanidades, Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/1277
Anuario tarea;2469-0422;;2362-6070;Universidad Nacional de San Martín;https://www.latindex.org/latindex/ficha/23883
Aportes para la integración latinoamericana;2468-9912;1515-5390;1515-5390;Instituto de Integración Latinoamericana, Facultad de Ciencias Jurídicas y Sociales, Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/1365
Archivos de ciencias de la educación;2346-8866;0518-3669;0518-3669;Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación. Departamento de Ciencias de la Educación;https://www.latindex.org/latindex/ficha/1490
Archivos de historia del movimiento obrero y la izquierda.;2683-9601;;2313-9749;CEHTI;https://www.latindex.org/latindex/ficha/25572
Área.;2591-5312;;0328-1337;Secretaría de Investigaciones, Facultad de Arquitectura, Diseño y Urbanismo, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/25550
Argentinian Journal of Respiratory and Physical Therapy;2618-4095;;2618-4095;AJRPT;https://www.latindex.org/latindex/ficha/26550
Argumentos;1666-8979;;1666-8979;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani;https://www.latindex.org/latindex/ficha/1581
Argumentos;2525-0469;;2525-0469;Centro de perfeccionamiento Ricardo Nuñez;https://www.latindex.org/latindex/ficha/25393
Arkadin;2525-085X;;1669-1563;Papel Cosido;https://www.latindex.org/latindex/ficha/24760
Armiliar;2545-7888;;2545-7888;Papel Cosido;https://www.latindex.org/latindex/ficha/24301
Arqueología;1853-8126;;0327-5159;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Arqueología;https://www.latindex.org/latindex/ficha/19127
Arquisur revista;2250-4206;1853-2365;1853-2365;Ediciones UNL;https://www.latindex.org/latindex/ficha/19129
Arquitecno;2683-9881;;0328-0896;Universidad Nacional del Nordeste. Facultad de Arquitectura y Urbanismo. Instituto de Investigaciones Tecnológicas para el Diseño Ambiental del Hábitat Humano - ITDAHu;https://www.latindex.org/latindex/ficha/25530
Arte e investigación;2469-1488;;1850-2334;Papel Cosido;https://www.latindex.org/latindex/ficha/22989
Artilugio.;2408-462X;;2408-462X;Centro de Producción e Investigación en Artes (CePIA), Facultad de Artes, Universidad Nacional de Córdoba (UNC).;https://www.latindex.org/latindex/ficha/25885
Artroscopía;1853-4759;;1851-2828;Asociacion Argentina de Artroscopía;https://www.latindex.org/latindex/ficha/19140
Astrolabio;1668-7515;;1668-7515;Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CONICET y UNC);https://www.latindex.org/latindex/ficha/1830
Atek Na;2422-6726;;1668-1479;Editorial de la Universidad Nacional de Luján;https://www.latindex.org/latindex/ficha/25403
Auster;2346-8890;;1514-0121;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación;https://www.latindex.org/latindex/ficha/20749
Austral comunicación;2313-9137;2313-9129;2313-9129;Universidad Austral, Facultad de Comunicación;https://www.latindex.org/latindex/ficha/3105
Avances del Cesor;2422-6580;;1514-3899;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Centro de Estudios Sociales Regionales, Consejo Nacional de Investigaciones Científicas y Técnicas;https://www.latindex.org/latindex/ficha/22089
Avances.;2718-6555;;1667-927X;EdFA - Editorial de la Facultad de Artes UNC;https://www.latindex.org/latindex/ficha/27942
Avatares de la comunicación y la cultura;1853-5925;;1853-5925;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Carrera de Ciencias de la Comunicación;https://www.latindex.org/latindex/ficha/19148
Badebec;1853-9580;;1853-9580;Universidad Nacional de Rosario,  Facultad de Humanidades y Artes,  Centro de Estudios de Teoría y Crítica Literaria;https://www.latindex.org/latindex/ficha/20750
BAG Journal of basic applied genetics;1852-6233;;1666-0390;Sociedad Argentina de Genética;https://www.latindex.org/latindex/ficha/2003
Beckettiana;2683-9679;;2683-9679;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/28215
Biología acuática;1668-4869;0326-1638;0326-1638;Instituto de Limnología "Dr. Raúl A. Ringuelet";https://www.latindex.org/latindex/ficha/2146
Bioquímica y patología clínica.;2684-0359;;1515-6761;Asociación Bioquímica Argentina;https://www.latindex.org/latindex/ficha/25666
Bold;2524-9703;;2344-9853;Papel Cosido;https://www.latindex.org/latindex/ficha/23600
Boletín de Arte;2314-2502;;2314-2502;Papel Cosido;https://www.latindex.org/latindex/ficha/23466
Boletín de estética;2408-4417;;1668-7132;Centro de Investigaciones Filosóficas, Programa de Estudios de Filosofía del Arte y la Literatura;https://www.latindex.org/latindex/ficha/2639
Boletín de estudios geográficos;2525-1813;;0374-6186;Universidad Nacional de Cuyo, Facultad de Filosofía y Letras, Departamento de Geografía, Instituto de Geografía;https://www.latindex.org/latindex/ficha/23700
Boletín de la Sociedad Argentina de Botánica;1851-2372;0373-580X;0373-580X;Sociedad Argentina de Botánica;https://www.latindex.org/latindex/ficha/2757
Boletín de Literatura Comparada.;2683-8397;;0325-3775;Centro de Literatura Comparada;https://www.latindex.org/latindex/ficha/26171
Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani;1850-2563;0524-9767;0524-9767;Eudeba;https://www.latindex.org/latindex/ficha/2880
Boletín GEC;2618-334X;;1515-6117;Grupo de Estudios sobre la Crítica Literaria;https://www.latindex.org/latindex/ficha/24768
Boletín geográfico;2313-903X;;0326-1735;Departamento de Geografía, Facultad de Humanidades, Universidad Nacional del Comahue;https://www.latindex.org/latindex/ficha/19171
Bonplandia;1853-8460;0524-0476;0524-0476;Instituto de Botánica del Nordeste, UNNE-CONICET;https://www.latindex.org/latindex/ficha/3143
Bridging cultures;2525-1791;;2525-1791;Universidad Católica Argentina;https://www.latindex.org/latindex/ficha/25043
Calamus;2545-627X;;2545-627X;SAEMED;https://www.latindex.org/latindex/ficha/24776
Campo Universitario.;2718-6121;;2718-6121;Instituto de Investigación en Educación Superior  (IIES/ADUBA/UBA);https://www.latindex.org/latindex/ficha/25927
Cartografías del sur;2422-6920;2422-7951;2422-6920;Universidad Nacional de Avellaneda, Secretaria de Investigación e Innovación Socioproductiva;https://www.latindex.org/latindex/ficha/23404
Casus Belli;2718-7608;;2718-7608;Universidad Nacional de la Defensa;https://www.latindex.org/latindex/ficha/28103
Catalejos;2525-0493;;2525-0493;Facultad de Humanidades, Universidad Nacional de Mar del Plata;https://www.latindex.org/latindex/ficha/24143
Cátedra paralela;2683-9393;;1669-8843;UNR EDITORA y EUDEM;https://www.latindex.org/latindex/ficha/25148
Ciclos en la historia, la economía y la sociedad;1851-3735;0327-4063;0327-4063;Fundación de Investigaciones Históricas, Económicas y Sociales;https://www.latindex.org/latindex/ficha/3919
Ciencia veterinaria;1853-8495;;1515-1883;Secretaría de Ciencia, Técnica y Posgrado. Facultad de Ciencias Veterinarias, Universidad Nacional de La Pampa;https://www.latindex.org/latindex/ficha/19198
Ciencia, docencia y tecnología;1851-1716;0327-5566;0327-5566;Universidad Nacional de Entre Ríos;https://www.latindex.org/latindex/ficha/3974
Ciencia, tecnología y política;2618-3188;;2618-2483;Universidad Nacional de La Plata (UNLP);https://www.latindex.org/latindex/ficha/24120
Ciencias administrativas;2314-3738;0009-6784;0009-6784;Universidad Nacional de La Plata. Facultad de Ciencias Económicas. Instituto de Investigaciones de Ciencias Administrativas.;https://www.latindex.org/latindex/ficha/4096
Ciencias económicas;2362-552X;1666-8359;1666-8359;Ediciones UNL;https://www.latindex.org/latindex/ficha/4118
Circe de clásicos y modernos;1851-1724;1514-3333;1514-3333;Instituto de Estudios Clásicos, Facultad de Ciencias Humanas, Universidad Nacional de La Pampa;https://www.latindex.org/latindex/ficha/4190
Clang;2524-9215;;null;Papel Cosido;https://www.latindex.org/latindex/ficha/26448
Clepsidra;2362-2075;;2362-2075;Instituto de Desarrollo Económico y Social. Núcleo de Estudios sobre la Memoria.;https://www.latindex.org/latindex/ficha/22898
Clío y asociados;2362-3063;;0328-820X;Ediciones UNL;https://www.latindex.org/latindex/ficha/23955
Comechingonia.;2250-7728;;0326-7911;Instituto de Estudios Históricos. IEH;https://www.latindex.org/latindex/ficha/25491
Community and Interculturality in Dialogue;3008-7570;;3008-7570;Editorial Salud, Ciencia y Tecnología;https://www.latindex.org/latindex/ficha/28391
Con X;2469-0333;;2469-0333;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;https://www.latindex.org/latindex/ficha/23311
ConCienciaSocial;2591-5339;;2591-5339;Dirección de la Carrera de Licenciatura en Trabajo Social. Facultad de Ciencias Sociales. Universidad Nacional de Córdoba.;https://www.latindex.org/latindex/ficha/24503
Confabulaciones;2545-8736;;2545-8736;Instituto Interdisciplinario de Literaturas Argentina y Comparadas (IILAC);https://www.latindex.org/latindex/ficha/24716
Conflicto social;1852-2262;;1852-2262;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani, Programa de Investigaciones sobre Conflicto Social;https://www.latindex.org/latindex/ficha/20024
Confluencia de Saberes.;2683-989X;;2683-989X;Universidad Nacional del Comahue;https://www.latindex.org/latindex/ficha/25960
Contabilidad y auditoría;1852-446X;;1515-2340;Sección Investigaciones Contables;https://www.latindex.org/latindex/ficha/4713
Contextos de educación;2314-3932;1514-2655;1514-2655;Departamento de Ciencias de la Educación - Facultad de Ciencias Humanas - Universidad Nacional de Río Cuarto;https://www.latindex.org/latindex/ficha/4758
Costos y gestión;2545-8329;;0327-5345;Instituto Argentino de Profesores Universitarios de Costos;https://www.latindex.org/latindex/ficha/23312
Crítica y resistencias;2525-0841;;2525-0841;Fundación El llano;https://www.latindex.org/latindex/ficha/23568
Cuaderno urbano;1853-3655;;1666-6186;Universidad Nacional del Nordeste. Facultad de Arquitectura.;https://www.latindex.org/latindex/ficha/19220
Cuadernos de análisis y debate sobre músicas latinoamericanas contemporáneas;2618-4583;;2618-4583;Instituto Nacional de Musicología “Carlos Vega”, Pontificia Universidad Católica Argentina, Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/28434
Cuadernos de antropología social;1850-275X;0327-3776;0327-3776;Instituto de Antropología Social, Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/5019
Cuadernos de economía crítica;2525-1538;;2408-400X;Sociedad de Economía Crítica de Argentina y Uruguay;https://www.latindex.org/latindex/ficha/23170
Cuadernos de educación.;2344-9152;;1515-3959;Centro de Investigaciones "María Saleme de Burnichon" (CIFFyH). Facultad de Filosofía y Humanidades;https://www.latindex.org/latindex/ficha/28307
Cuadernos de extensión universitaria de la UNLPam.;2718-7500;;2451-5930;EdUNLPam;https://www.latindex.org/latindex/ficha/26699
Cuadernos de H ideas;2313-9048;1851-8206;1851-8206;Universidad Nacional de La Plata,  Facultad de Periodismo y Comunicación Social;https://www.latindex.org/latindex/ficha/5133
Cuadernos de herpetología;1852-5768;0326-551X;0326-551X;Asociación Herpetológica Argentina;https://www.latindex.org/latindex/ficha/5134
Cuadernos de historia de España;1850-2717;0325-1195;0325-1195;Instituto de Historia de España, Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/5139
Cuadernos de historia del arte;2618-5555;;0070-1688;Instituto de Historia del Arte, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/24717
Cuadernos de historia. Serie Economía y Sociedad;2422-7544;;1514-5816;Centro de Investigaciones, Área de Historia;https://www.latindex.org/latindex/ficha/24795
Cuadernos de humanidades;2683-782x;;0327-8115;Editorial de la Universidad Nacional de Salta.;https://www.latindex.org/latindex/ficha/27336
Cuadernos de Ingeniería;2545-7012;;2545-692X;Eucasa;https://www.latindex.org/latindex/ficha/20395
Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy;1668-8104;0327-1471;0327-1471;Universidad Nacional de Jujuy, Facultad de Humanidades y Ciencias Sociales;https://www.latindex.org/latindex/ficha/5199
Cuadernos de Literatura.;2684-0499;0326-5102;0326-5102;Instituto de Letras “Alfredo Veiravé”;https://www.latindex.org/latindex/ficha/27259
Cuadernos de Marte;1852-9879;;1852-7879;Universidad de Buenos Aires. Facultad de Ciencias Sociales. Instituto de Investigaciones Gino Germani.;https://www.latindex.org/latindex/ficha/22074
Cuadernos de política exterior Argentina;1852-7213;0326-7806;0326-7806;Centro de Estudios en Relaciones Internacionales de Rosario;https://www.latindex.org/latindex/ficha/5250
Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos;1853-3523;1668-0227;1668-0227;Centro de Estudios en Diseño y Comunicación, Facultad de Diseño y Comunicación, Universidad de Palermo;https://www.latindex.org/latindex/ficha/5326
Cuadernos del CILHA;1852-9615;1515-6125;1515-6125;Centro Interdisciplinario de Literatura Hispanoamericana, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/5335
Cuadernos del CIMBAGE;1669-1830;1666-5112;1666-5112;Universidad de Buenos Aires. Facultad de Ciencias Económicas. Instituto de Investigaciones en Estadística y Matemática. Centro de Investigación en Metodología Borrosa Aplicada a la Gestión y Economía;https://www.latindex.org/latindex/ficha/5336
Cuadernos del CURIHAM;2683-8168;;1514-2906;Centro Universitario Rosario de Investigaciones Hidroambientales;https://www.latindex.org/latindex/ficha/25086
Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano.;2422-7749;;0570-8346;Instituto Nacional de Antropología y Pensamiento Latinoamericano;https://www.latindex.org/latindex/ficha/26850
Cuadernos del Sur.  Historia.;2362-2997;;1668-7604;EDIUNS;https://www.latindex.org/latindex/ficha/26970
Cuadernos del sur. Filosofía.;2362-2989;;2362-2989;EdiUNS;https://www.latindex.org/latindex/ficha/28420
Cuadernos del sur. Letras.;2362-2970;;1668-7604;EDIUNS;https://www.latindex.org/latindex/ficha/26969
Cuadernos Medievales;2451-6821;;2422-7471;Universidad Nacional de Mar del Plata, Facultad de Humanidades, GIEM (Grupo de Investigación y Estudios Medievales);https://www.latindex.org/latindex/ficha/23306
Cuadernos universitarios;2250-7132;2250-7124;2250-7124;EUCASA;https://www.latindex.org/latindex/ficha/21025
Cuestión urbana.;2545-6881;;2545-6881;Centro de Estudios de Ciudad, Facultad de Ciencias Sociales, Universidad de Buenos Aires.;https://www.latindex.org/latindex/ficha/25648
Cuestiones de sociología;2346-8904;1668-1584;1668-1584;Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación;https://www.latindex.org/latindex/ficha/5484
Cultura económica;1852-5342;1852-0588;1852-0588;Centro de Estudios en Economía y Cultura, Facultad de Ciencias Socíales y Económicas. Universidad Católica Argentina;https://www.latindex.org/latindex/ficha/5510
Culturas;2362-5538;;1515-3738;Ediciones UNL;https://www.latindex.org/latindex/ficha/23941
Cuyo anuario de filosofía argentina y americana;1853-3175;1514-9935;1514-9935;Instituto de Filosofía Argentina y Americana, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/5543
Cuyonomics;2591-555X;;2591-555X;Universidad Nacional de Cuyo, Facultad de Ciencias Económicas;https://www.latindex.org/latindex/ficha/25392
Darwiniana;1850-1699;0011-6793;0011-6793;Instituto de Botánica Darwinion;https://www.latindex.org/latindex/ficha/5558
DavarLogos;1853-9106;1666-7832;1666-7832;Universidad Adventista del Plata, Facultad de Teología;https://www.latindex.org/latindex/ficha/5570
De prácticas y discursos;2250-6942;;2250-6942;Universidad Nacional del Nordeste, Centro de Estudios Sociales;https://www.latindex.org/latindex/ficha/22068
Del prudente saber y el máximo posible de sabor;2618-4141;;1515-3576;Universidad Nacional de Entre Ríos, Facultad de Ciencias de la Educación;https://www.latindex.org/latindex/ficha/24887
Delito y sociedad. Revista de Ciencias Sociales;2468-9963;0328-0101;0328-0101;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Carrera de Sociología, Cátedra Delito y Sociedad: Sociología del Sistema Penal,;https://www.latindex.org/latindex/ficha/5635
Derecho y ciencias sociales;1852-2971;;1852-2971;Instituto de Cultura Jurídica, Facultad de Ciencias Jurídicas y Sociales, Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/5675
Dermatología argentina;1669-1636;1515-8411;1515-8411;Sociedad Argentina de Dermatología;https://www.latindex.org/latindex/ficha/5694
Desarrollo económico;1853-8185;;0046-001X;Instituto de Desarrollo Económico y Social;https://www.latindex.org/latindex/ficha/19254
Desarrollo, Estado y Espacio;2796-9606;;2796-9606;Ediciones UNL;https://www.latindex.org/latindex/ficha/27664
Descentrada;2545-7284;;2545-7284;Facultad de Humanidades y Ciencias de la Educación  Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/24119
Desde la Patagonia;2618-5385;;1668-8848;Universidad Nacional del Comahue. Centro Regional Universitario Bariloche;https://www.latindex.org/latindex/ficha/25088
Diálogos pedagógicos;2524-9274;;1667-2003;Editorial de la Universidad Católica de Córdoba;https://www.latindex.org/latindex/ficha/23592
Diferencia(s);2469-1100;;2469-1100;Universidad de Buenos Aires. Facultad de Ciencias Sociales. Grupo de Estudios sobre Estructuralismo y Postestructuralismo, Instituto de Investigaciones Gino Germani;https://www.latindex.org/latindex/ficha/23026
Dios y el hombre;2618-2858;;2618-2858;Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/24300
Divulgatio.;2591-3530;;2591-3530;Universidad Nacional de Quilmes;https://www.latindex.org/latindex/ficha/27185
E+E;1853-8088;1852-0278;1852-0278;Secretaría de Extensión, Facultad de Filosofía y Humanidades, Universidad de Córdoba;https://www.latindex.org/latindex/ficha/6104
Económica;1852-1649;0013-0419;0013-0419;Instituto de Investigaciones Económicas, Facultad de Ciencias Económicas, Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/6220
Ecos.;2718-6199;;2718-6199;Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/27701
Educación en la química;2344-9683;0327-3504;0327-3504;ADEQRA;https://www.latindex.org/latindex/ficha/6323
Educación física y ciencia;2314-2561;1514-0105;1514-0105;Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación.;https://www.latindex.org/latindex/ficha/6326
Educación física, experiencias e investigaciones;1852-9372;;1852-9372;Departamento de Educación Física, Centro Regional Universitario Bariloche, Universidad Nacional del Comahue;https://www.latindex.org/latindex/ficha/19279
Educación y vínculos;2591-6327;;2591-6327;Facultad de Ciencias de la Educación;https://www.latindex.org/latindex/ficha/24985
Educación, lenguaje y sociedad;2545-7667;1668-4753;2545-7667;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas, Instituto para el Estudio de la Educación, el Lenguaje y la Sociedad;https://www.latindex.org/latindex/ficha/6363
El cardo;1851-1562;;1514-7347;Área Didáctica, Facultad de Ciencias de la Educación, Universidad Nacional de Entre Ríos;https://www.latindex.org/latindex/ficha/24962
El hilo de la fábula;2362-5651;;1667-7900;Ediciones UNL;https://www.latindex.org/latindex/ficha/23948
El jardín de los poetas;2469-2131;;2469-2131;Facultad de Humanidades;https://www.latindex.org/latindex/ficha/23610
El matadero;2683-9687;;2683-9687;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/28350
El oído pensante;2250-7116;;2250-7116;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Ciencias Antropológicas;https://www.latindex.org/latindex/ficha/19743
El taco en la brea;2362-4191;;2362-4191;Centro de Publicaciones de la Universidad Nacional del Litoral;https://www.latindex.org/latindex/ficha/23867
En la otra isla;2796-9924;;2796-9924;Instituto de Artes del Espectáculo, Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/28043
En letra derecho penal;2469-0864;;2469-0864;En Letra. Derecho Penal;https://www.latindex.org/latindex/ficha/24138
Encuentro educativo;2718-8035;;2718-8035;Área de Revistas Científicas y Académicas, Instituto de Ciencias de la Educación, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/27333
Energías renovables y medio ambiente.;2684-0073;;0328-932X;ASADES;https://www.latindex.org/latindex/ficha/26911
Enfoques.;1669-2721;1514-6006;1514-6006;Universidad Adventista del Plata;https://www.latindex.org/latindex/ficha/6711
Ensambles;2422-5541;;2422-5444;Universidad Nacional de General Sarmiento;https://www.latindex.org/latindex/ficha/24889
Ensayos de política económica;2313-979X;;2313-9781;Universidad Católica Argentina. Facultad de Ciencias Económicas. Departamento de Investigación Francisco Valsecchi;https://www.latindex.org/latindex/ficha/22072
Ensayos económicos.;1850-6046;;0325-3937;Banco Central de la República Argentina;https://www.latindex.org/latindex/ficha/26327
Epistemología e historia de la ciencia;2525-1198;;2525-1198;Área de Filosofía, Centro de Investigaciones, Facultad de Filosofía y Humanidades, Escuela de Filosofía, Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/22996
Epistemus;1853-0494;;1853-0494;SACCoM - Sociedad Argentina para las Ciencias Cognitivas de la Música;https://www.latindex.org/latindex/ficha/23300
Escena uno;2362-4000;;2362-4000;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Arte,  Instituto de Estudios Escenográficos en Artes Escénicas y Audiovisuales;https://www.latindex.org/latindex/ficha/23245
Escenarios.;2683-7684;;1666-3942;Facultad de Trabajo Social;https://www.latindex.org/latindex/ficha/26838
Escritos contables y de administración;1853-2055;1853-2063;1853-2055;Departamento de Ciencias de la Administración, Universidad Nacional del Sur;https://www.latindex.org/latindex/ficha/6913
Espacios en blanco. Serie indagaciones;2313-9927;;1515-9485;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Humanas, Núcleo de Estudios Educacionales y Sociales;https://www.latindex.org/latindex/ficha/25224
Estado abierto.;2618-4362;;2525-1805;Instituto Nacional de la Administración Pública;https://www.latindex.org/latindex/ficha/26974
Estudios de filosofía práctica e historia de las ideas;1851-9490;1515-7180;1515-7180;Qellqasqa;https://www.latindex.org/latindex/ficha/13
Estudios de historia de España.;2469-0961;;0328-0284;Selectus;https://www.latindex.org/latindex/ficha/20413
Estudios de teoría literaria;2313-9676;;2313-9676;Universidad Nacional de Mar del Plata. Facultad de Humanidades. Grupo de Investigación Estudios de Teoría Literaria.;https://www.latindex.org/latindex/ficha/22998
Estudios del hábitat;2422-6483;;2422-6483;Universidad Nacional de La Plata, Facultad de Arquitectura y Urbanismo;https://www.latindex.org/latindex/ficha/23125
Estudios del ISHiR;2250-4397;;2250-4397;Investigaciones Socio-Históricas Regionales, CONICET;https://www.latindex.org/latindex/ficha/20715
Estudios del Trabajo;2545-7756;;0327-5744;Asociación Argentina de Especialistas en Estudios del Trabajo;https://www.latindex.org/latindex/ficha/24931
Estudios económicos;2525-1295;;0425-368X;Editorial de la Universidad Nacional del Sur (EdiUNS);https://www.latindex.org/latindex/ficha/22969
